work_year,experience_level,employment_type,job_group,employee_residence,remote_ratio,company_location,company_size,is_us_company
-0.4827329722936719,0.8253985594254862,-0.028082797815085245,0.9266247638213744,0.8829649225965052,-0.47788842387504105,0.8257204668240086,1.8618412774786877,0.9292126362399608
0.9255156296388247,0.8253985594254862,-0.028082797815085245,-1.2113512821592147,0.8829649225965052,0.7547140352660707,0.8257204668240086,0.3531078284873373,0.9292126362399608
-0.4827329722936719,0.8253985594254862,-0.028082797815085245,0.9266247638213744,-0.6148632846840743,-1.710490883016153,-0.5772544583822053,-1.155625620504013,-1.076179940951383
-0.4827329722936719,-1.7230948028882411,-0.028082797815085245,0.21396608182784468,-0.6148632846840743,0.7547140352660707,-0.5772544583822053,0.3531078284873373,-1.076179940951383
-0.4827329722936719,-0.44884812173137745,-0.028082797815085245,-0.498692600165685,0.8829649225965052,0.7547140352660707,0.8257204668240086,-1.155625620504013,0.9292126362399608
0.9255156296388247,-0.44884812173137745,-0.028082797815085245,0.9266247638213744,0.8829649225965052,-0.47788842387504105,0.8257204668240086,-1.155625620504013,0.9292126362399608
-0.4827329722936719,-0.44884812173137745,-0.028082797815085245,0.9266247638213744,-0.3473939619553994,-0.47788842387504105,-0.3332588192159073,1.8618412774786877,-1.076179940951383
0.9255156296388247,0.8253985594254862,-0.028082797815085245,0.21396608182784468,0.8829649225965052,-1.710490883016153,0.8257204668240086,0.3531078284873373,0.9292126362399608
-1.8909815742261684,-0.44884812173137745,-0.028082797815085245,0.21396608182784468,-0.7218510137755443,-0.47788842387504105,-0.7602511877569289,-1.155625620504013,-1.076179940951383
0.9255156296388247,0.8253985594254862,-0.028082797815085245,0.21396608182784468,-2.0057037628731837,0.7547140352660707,-0.028264270258034702,-1.155625620504013,-1.076179940951383
0.9255156296388247,0.8253985594254862,-0.028082797815085245,-1.2113512821592147,0.8829649225965052,0.7547140352660707,0.8257204668240086,0.3531078284873373,0.9292126362399608
0.9255156296388247,-0.44884812173137745,-0.028082797815085245,-0.498692600165685,-0.9893203365042191,-1.710490883016153,-1.004246826923227,0.3531078284873373,-1.076179940951383
0.9255156296388247,-0.44884812173137745,-0.028082797815085245,-1.2113512821592147,-0.9893203365042191,-1.710490883016153,-1.004246826923227,0.3531078284873373,-1.076179940951383
0.9255156296388247,-0.44884812173137745,-0.028082797815085245,-0.498692600165685,-0.9893203365042191,0.7547140352660707,-1.004246826923227,0.3531078284873373,-1.076179940951383
-0.4827329722936719,0.8253985594254862,-0.028082797815085245,0.21396608182784468,-1.6312467110530389,-0.47788842387504105,-1.7362337444221212,-1.155625620504013,-1.076179940951383
0.9255156296388247,-0.44884812173137745,-0.028082797815085245,0.21396608182784468,0.5620017353220953,0.7547140352660707,0.8257204668240086,1.8618412774786877,0.9292126362399608
-0.4827329722936719,0.8253985594254862,-0.028082797815085245,-0.498692600165685,0.8829649225965052,0.7547140352660707,0.8257204668240086,-1.155625620504013,0.9292126362399608
-0.4827329722936719,-0.44884812173137745,-0.028082797815085245,-1.2113512821592147,0.8829649225965052,0.7547140352660707,0.8257204668240086,-1.155625620504013,0.9292126362399608
-0.4827329722936719,0.8253985594254862,-0.028082797815085245,0.21396608182784468,-1.6312467110530389,0.7547140352660707,-1.7362337444221212,-1.155625620504013,-1.076179940951383
-0.4827329722936719,-1.7230948028882411,-0.028082797815085245,0.21396608182784468,0.8294710580507701,0.7547140352660707,0.764721557032434,-1.155625620504013,-1.076179940951383
-1.8909815742261684,0.8253985594254862,-5.967594535705885,0.9266247638213744,0.5620017353220953,0.7547140352660707,0.8257204668240086,1.8618412774786877,0.9292126362399608
-1.8909815742261684,-0.44884812173137745,-0.028082797815085245,-0.498692600165685,-1.310283523778629,0.7547140352660707,-1.370240285672674,1.8618412774786877,-1.076179940951383
-0.4827329722936719,0.8253985594254862,-0.028082797815085245,-0.498692600165685,0.8829649225965052,0.7547140352660707,0.8257204668240086,-1.155625620504013,0.9292126362399608
-1.8909815742261684,-0.44884812173137745,-0.028082797815085245,-0.498692600165685,-1.0428142010499541,-0.47788842387504105,-1.0652457367148014,-1.155625620504013,-1.076179940951383
-0.4827329722936719,-0.44884812173137745,-0.028082797815085245,-1.2113512821592147,0.8829649225965052,-1.710490883016153,0.8257204668240086,-1.155625620504013,0.9292126362399608
