metodo,preprocessamento,encoding,parametros,r2_score,r2_log,mape,mae,mse,rmse
Regressao Linear,com_dummy_sem_std,one_hot,N/A,0.510949,0.575756,53.46,36206.03,2824330827.71,53144.43
Regressao Polinomial,com_dummy_com_std,one_hot,"target_transform=nenhum, grau=2",-0.259788,,112.55,54122.11,7275432495.8,85296.15
Arvore de Decisao,com_dummy_com_std,one_hot,"target_transform=nenhum, max_depth=3",0.4836,,66.06,38016.1,2982276160.54,54610.22
Random Forest,sem_dummy_com_std,label_encoder,"target_transform=log, n_estimators=100, max_depth=10.0, max_features=sqrt",0.428977,,63.39,37945.33,3297730413.02,57425.87
SVM,com_dummy_com_std,one_hot,"target_transform=log, kernel=linear, C=10.0, epsilon=0.1, gamma=nan, degree=nan",0.496533,,57.79,35989.95,2907586900.21,53922.04
Rede Neural,com_dummy_com_std,one_hot,"target_transform=std_target, hidden_layer_sizes=(32,), activation=relu, alpha=0.0001",0.456055,,72.55,40630.54,3141352888.32,56047.77
