modelo,base,target_transform,r2_media,r2_std,mae_media,mae_std,rmse_media,rmse_std,mape_media,mape_std,r2_por_fold
Regressao Linear,com_dummy_sem_std,log,0.467,0.0717,32835.57,3428.04,52199.96,7906.98,43.14,9.16,"[0.4364, 0.508, 0.5832, 0.4319, 0.3755]"
SVM,com_dummy_sem_std,log,0.4616,0.0582,32591.77,3412.86,52547.86,7889.54,44.44,9.88,"[0.4222, 0.5138, 0.5368, 0.4572, 0.3779]"
Random Forest,sem_dummy_sem_std,log,0.4321,0.026,33998.44,2521.55,53890.25,6522.6,45.51,6.54,"[0.4215, 0.4453, 0.474, 0.4228, 0.3969]"
Arvore de Decisao,com_dummy_sem_std,nenhum,0.3927,0.0917,37406.07,3380.92,55616.52,8335.72,59.64,9.98,"[0.3616, 0.3962, 0.5659, 0.3346, 0.3052]"
Rede Neural,com_dummy_sem_std,std_target,0.3849,0.0712,38287.82,4102.97,56158.8,8631.21,58.37,7.92,"[0.3022, 0.4593, 0.4803, 0.3376, 0.3448]"
Regressao Polinomial,com_dummy_sem_std,nenhum,-0.0378,0.3315,46941.47,6181.81,71400.42,8382.2,86.72,23.23,"[0.1956, 0.1787, 0.0547, -0.6915, 0.0732]"
