salary_in_usd
120000
126500
66265
28399
180000
37236
77364
150000
35735
60000
99050
52351
45807
78526
127221
48000
150000
450000
103691
13400
60000
59303
200000
70139
75000
99000
93700
380000
104702
38776
100000
110000
190000
135000
183600
46809
180000
4000
65949
96282
10000
69999
215300
90320
136600
159000
87932
12901
20000
10354
144000
39263
138350
72500
122346
184700
200000
104890
160000
165400
56738
148261
82528
78526
208775
120000
5882
46759
175000
5707
150000
91000
220110
45896
235000
42000
235000
19609
250000
150000
63900
90734
87738
69336
160000
100000
72000
240000
80000
61467
90000
405000
50000
185100
47899
105000
24823
43331
120000
136000
85000
170000
90700
123000
52396
116914
115934
45618
54000
120000
60000
140000
71444
105400
165000
60000
106260
230000
150000
21637
112000
156600
147000
21844
50000
54957
87932
130026
187442
10000
412000
51519
126500
116150
58035
167875
276000
81666
130000
164000
54094
82744
168000
138000
99100
161342
93000
120000
152500
109024
33808
140400
62649
120600
110000
93700
76940
45391
68147
52351
2859
75000
55000
129000
183228
86703
138600
63711
18442
99703
80000
176000
75000
144000
173762
200000
24000
450000
170000
130000
112872
130800
90000
113000
150075
87932
189650
140000
52351
99360
150000
84900
74130
91614
117104
91614
196979
31615
65438
210000
88654
33511
32974
35590
119059
98158
105000
220000
66022
73000
100000
87932
18442
185000
70912
74000
24823
160000
160000
110000
63831
190200
115000
28609
146000
225000
40570
87425
113476
80000
65013
20000
45760
58000
140000
80000
130000
206699
115500
87000
135000
170000
200000
600000
71786
200000
85000
47282
40189
37300
260000
325000
94564
160000
75774
41689
21983
167000
30428
120000
162674
80000
4000
16904
192400
135000
181940
124190
214000
170000
82900
32974
65000
56000
112900
136620
93427
18907
164996
88654
150000
20000
58255
151000
69741
51064
5409
12000
128875
62651
144854
55000
102100
175100
26005
68428
79197
242000
130000
40481
135000
75000
59102
28016
103000
174000
120000
79833
76833
100800
6072
120000
78000
177000
110500
130000
50000
110037
56256
104702
21669
32974
124333
100000
69741
98000
153000
135000
106000
101570
180000
79833
117789
195000
112300
147800
324000
145000
70000
154600
65438
116000
76940
170000
81000
136994
185000
29751
24342
89294
105000
63831
150000
91237
106260
105000
108800
79039
65949
165000
100000
200100
135000
153000
82500
109280
205300
22611
160000
65000
49646
188000
130000
50000
153667
49461
76833
54238
80000
200000
90000
118000
180000
141846
54957
50180
115934
128875
100000
157000
54742
140250
20000
100000
61896
120000
192600
150000
72212
111775
155000
43966
90000
40038
95746
100000
78791
225000
82528
65438
60757
110000
192564
64849
45807
45807
78791
62726
59102
125000
58000
18000
52000
